group,lang,pathA,pathB,jaccardMasked,jaccardRaw
tld,zh,/tld/mx,/tld/pl,0.497,0.348
tld,zh,/tld/ro,/tld/sk,0.469,0.325
tld,zh,/tld/nz,/tld/pt,0.457,0.324
tld,zh,/tld/ke,/tld/ng,0.455,0.311
tld,zh,/tld/ar,/tld/cl,0.45,0.327
tld,zh,/tld/id,/tld/my,0.447,0.334
tld,zh,/tld/ae,/tld/ph,0.445,0.326
tld,zh,/tld/pt,/tld/sk,0.443,0.315
tld,zh,/tld/lt,/tld/lv,0.436,0.339
tld,zh,/tld/pt,/tld/se,0.433,0.347
tld,zh,/tld/cz,/tld/nz,0.43,0.323
tld,zh,/tld/cz,/tld/pt,0.43,0.309
tld,zh,/tld/pt,/tld/ro,0.429,0.304
tld,zh,/tld/berlin,/tld/boston,0.429,0.298
tld,zh,/tld/ge,/tld/lk,0.427,0.305
tld,zh,/tld/fi,/tld/se,0.427,0.316
tld,zh,/tld/boston,/tld/miami,0.426,0.311
tld,zh,/tld/ae,/tld/pt,0.426,0.302
tld,zh,/tld/amsterdam,/tld/paris,0.426,0.282
tld,zh,/tld/equipment,/tld/management,0.422,0.301
tld,zh,/tld/cz,/tld/sk,0.422,0.3
tld,zh,/tld/ph,/tld/pt,0.421,0.324
tld,zh,/tld/gr,/tld/pt,0.42,0.305
tld,zh,/tld/ae,/tld/nz,0.419,0.296
tld,zh,/tld/fi,/tld/pt,0.418,0.306
tld,zh,/tld/nz,/tld/se,0.415,0.3
tld,zh,/tld/at,/tld/pt,0.415,0.311
tld,zh,/tld/ae,/tld/cz,0.413,0.291
tld,zh,/tld/nz,/tld/sk,0.412,0.287
tld,zh,/tld/lk,/tld/qa,0.411,0.292
tld,en,/tld/berlin,/tld/boston,0.443,0.245
tld,en,/tld/boston,/tld/miami,0.408,0.259
tld,en,/tld/lt,/tld/lv,0.386,0.267
tld,en,/tld/mx,/tld/pl,0.385,0.228
tld,en,/tld/amsterdam,/tld/paris,0.385,0.218
tld,en,/tld/boston,/tld/paris,0.381,0.197
tld,en,/tld/amsterdam,/tld/berlin,0.379,0.223
tld,en,/tld/berlin,/tld/paris,0.371,0.213
tld,en,/tld/london,/tld/tokyo,0.371,0.212
tld,en,/tld/ge,/tld/lv,0.366,0.241
tld,en,/tld/amsterdam,/tld/boston,0.366,0.21
tld,en,/tld/pt,/tld/sk,0.365,0.218
tld,en,/tld/ae,/tld/ph,0.363,0.234
tld,en,/tld/cz,/tld/pt,0.357,0.217
tld,en,/tld/ro,/tld/sk,0.354,0.248
tld,en,/tld/ae,/tld/pt,0.352,0.213
tld,en,/tld/basketball,/tld/cricket,0.352,0.206
tld,en,/tld/lk,/tld/lv,0.352,0.229
tld,en,/tld/miami,/tld/tokyo,0.349,0.171
tld,en,/tld/ph,/tld/pt,0.348,0.223
tld,en,/tld/boston,/tld/london,0.348,0.189
tld,en,/tld/boston,/tld/tokyo,0.348,0.177
tld,en,/tld/cz,/tld/sk,0.347,0.206
tld,en,/tld/lk,/tld/qa,0.346,0.226
tld,en,/tld/pt,/tld/se,0.344,0.274
tld,en,/tld/ge,/tld/lk,0.343,0.224
tld,en,/tld/nz,/tld/pt,0.34,0.208
tld,en,/tld/ae,/tld/cz,0.34,0.207
tld,en,/tld/basketball,/tld/rugby,0.339,0.246
tld,en,/tld/pt,/tld/ro,0.338,0.223
guide,zh,/guide/eggcarving,/guide/pyrography,0.154,0.152
guide,zh,/guide/doughsculpture,/guide/eggcarving,0.141,0.142
guide,zh,/guide/jadecarving,/guide/swordsmith,0.141,0.13
guide,zh,/guide/doughsculpture,/guide/pyrography,0.137,0.139
guide,zh,/guide/insidepainting,/guide/pyrography,0.137,0.139
guide,zh,/guide/eggcarving,/guide/strawpainting,0.137,0.135
guide,zh,/guide/eggcarving,/guide/insidepainting,0.136,0.135
guide,zh,/guide/fanmaking,/guide/swordsmith,0.13,0.127
guide,zh,/guide/pyrography,/guide/strawpainting,0.128,0.13
guide,zh,/guide/batik,/guide/gilding,0.126,0.125
guide,zh,/guide/insidepainting,/guide/nutcarving,0.126,0.128
guide,zh,/guide/claysculpture,/guide/pyrography,0.124,0.126
guide,zh,/guide/fanmaking,/guide/jadecarving,0.123,0.116
guide,zh,/guide/doughsculpture,/guide/strawpainting,0.122,0.124
guide,zh,/guide/gilding,/guide/lacquerware,0.121,0.12
guide,zh,/guide/guqin,/guide/swordsmith,0.121,0.119
guide,zh,/guide/doughsculpture,/guide/insidepainting,0.121,0.122
guide,zh,/guide/brocade,/guide/swordsmith,0.119,0.117
guide,zh,/guide/batik,/guide/lacquerware,0.118,0.117
guide,zh,/guide/brocade,/guide/jadecarving,0.118,0.111
guide,zh,/guide/nutcarving,/guide/pyrography,0.117,0.119
guide,zh,/guide/fanmaking,/guide/lacquerware,0.115,0.114
guide,zh,/guide/batik,/guide/fanmaking,0.115,0.113
guide,zh,/guide/eggcarving,/guide/nutcarving,0.114,0.119
guide,zh,/guide/doughsculpture,/guide/woodblockprint,0.114,0.116
guide,zh,/guide/brocade,/guide/fanmaking,0.113,0.112
guide,zh,/guide/bronzecasting,/guide/claysculpture,0.113,0.106
guide,zh,/guide/claysculpture,/guide/jadecarving,0.113,0.115
guide,zh,/guide/claysculpture,/guide/doughsculpture,0.112,0.117
guide,zh,/guide/doughsculpture,/guide/nutcarving,0.112,0.114
guide,en,/guide/eggcarving,/guide/pyrography,0.106,0.103
guide,en,/guide/eggcarving,/guide/insidepainting,0.105,0.091
guide,en,/guide/doughsculpture,/guide/pyrography,0.104,0.092
guide,en,/guide/jadecarving,/guide/swordsmith,0.099,0.095
guide,en,/guide/doughsculpture,/guide/eggcarving,0.097,0.093
guide,en,/guide/eggcarving,/guide/strawpainting,0.095,0.092
guide,en,/guide/pyrography,/guide/strawpainting,0.088,0.076
guide,en,/guide/bookbinding,/guide/letterpress,0.088,0.071
guide,en,/guide/doughsculpture,/guide/strawpainting,0.088,0.075
guide,en,/guide/insidepainting,/guide/pyrography,0.086,0.084
guide,en,/guide/insidepainting,/guide/nutcarving,0.085,0.082
guide,en,/guide/brocade,/guide/fanmaking,0.085,0.073
guide,en,/guide/bambooweaving,/guide/brocade,0.084,0.073
guide,en,/guide/fanmaking,/guide/lacquerware,0.081,0.07
guide,en,/guide/batik,/guide/gilding,0.081,0.07
guide,en,/guide/gilding,/guide/lacquerware,0.08,0.069
guide,en,/guide/batik,/guide/brocade,0.08,0.068
guide,en,/guide/nutcarving,/guide/pyrography,0.079,0.068
guide,en,/guide/batik,/guide/lacquerware,0.079,0.068
guide,en,/guide/fanmaking,/guide/jadecarving,0.078,0.067
guide,en,/guide/bambooweaving,/guide/jadecarving,0.078,0.066
guide,en,/guide/nutcarving,/guide/strawpainting,0.078,0.066
guide,en,/guide/brocade,/guide/jadecarving,0.077,0.065
guide,en,/guide/strawpainting,/guide/woodblockprint,0.077,0.075
guide,en,/guide/doughsculpture,/guide/woodblockprint,0.076,0.073
guide,en,/guide/eggcarving,/guide/nutcarving,0.075,0.077
guide,en,/guide/mosaic,/guide/stainedglass,0.075,0.063
guide,en,/guide/brocade,/guide/swordsmith,0.075,0.072
guide,en,/guide/claysculpture,/guide/pyrography,0.075,0.064
guide,en,/guide/doughsculpture,/guide/nutcarving,0.075,0.063
vs,zh,/vs/id-vs-sg,/vs/ph-vs-sg,0.427,0.366
vs,zh,/vs/de-vs-com,/vs/uk-vs-com,0.416,0.349
vs,zh,/vs/de-vs-com,/vs/fr-vs-com,0.407,0.345
vs,zh,/vs/menu-vs-cafe,/vs/menu-vs-restaurant,0.404,0.355
vs,zh,/vs/golf-vs-travel,/vs/surf-vs-travel,0.393,0.356
vs,zh,/vs/fr-vs-com,/vs/uk-vs-com,0.377,0.323
vs,zh,/vs/shoes-vs-fashion,/vs/shoes-vs-store,0.372,0.337
vs,zh,/vs/ee-vs-fi,/vs/lt-vs-ee,0.371,0.34
