group,lang,path,label,bodyWords,proseWords,proseChars,sentences,uniqueSentences,dupSentenceRatio,faqDetails,faqLd,nnMasked,nnRaw,nnPath,templateShare50,templateShare10,templateSentShare,vsReuseFromTld
tld,en,/tld/abogado,.abogado,2345,677,4001,49,39,0.204,3,3,0.239,0.148,/tld/tienda,0.222,0.273,0.359,
tld,zh,/tld/abogado,.abogado,2730,1056,1645,44,36,0.182,3,3,0.3,0.191,/tld/tienda,0.285,0.341,0.417,
tld,en,/tld/academy,.academy,2214,527,2971,48,38,0.208,3,3,0.189,0.117,/tld/school,0.275,0.3,0.395,
tld,zh,/tld/academy,.academy,2636,938,1410,47,38,0.191,3,3,0.247,0.169,/tld/school,0.318,0.364,0.421,
tld,en,/tld/accountants,.accountants,2249,581,3233,49,38,0.224,3,3,0.194,0.11,/tld/engineer,0.261,0.295,0.368,
tld,zh,/tld/accountants,.accountants,2630,956,1563,46,37,0.196,3,3,0.269,0.169,/tld/diamonds,0.329,0.359,0.405,
tld,en,/tld/actor,.actor,2311,643,3545,51,40,0.216,3,3,0.253,0.166,/tld/graphics,0.238,0.296,0.35,
tld,zh,/tld/actor,.actor,2680,1006,1611,44,36,0.182,3,3,0.311,0.201,/tld/graphics,0.297,0.352,0.417,
tld,en,/tld/ae,.ae,2363,689,3680,47,37,0.213,3,3,0.363,0.234,/tld/ph,0.217,0.293,0.378,
tld,zh,/tld/ae,.ae,2814,1134,1442,48,38,0.208,3,3,0.445,0.326,/tld/ph,0.263,0.443,0.395,
tld,en,/tld/agency,.agency,2170,491,2617,40,34,0.15,3,3,0.19,0.126,/tld/space,0.288,0.311,0.441,
tld,zh,/tld/agency,.agency,2573,886,1213,43,36,0.163,3,3,0.222,0.16,/tld/group,0.301,0.327,0.444,
tld,en,/tld/ai,.ai,2148,463,2373,38,33,0.132,3,3,0.093,0.125,/tld/space,0.149,0.167,0.242,
tld,zh,/tld/ai,.ai,2521,824,1108,39,34,0.128,3,3,0.199,0.157,/tld/io,0.292,0.308,0.412,
tld,en,/tld/am,.am,2341,676,3695,46,36,0.217,3,3,0.135,0.118,/tld/mn,0.153,0.171,0.194,
tld,zh,/tld/am,.am,2789,1118,1544,47,37,0.213,3,3,0.213,0.157,/tld/mn,0.236,0.273,0.378,
tld,en,/tld/amsterdam,.amsterdam,2303,635,3533,47,37,0.213,3,3,0.385,0.223,/tld/paris,0.24,0.292,0.378,
tld,zh,/tld/amsterdam,.amsterdam,2752,1078,1619,44,36,0.182,3,3,0.426,0.282,/tld/paris,0.296,0.349,0.417,
tld,en,/tld/apartments,.apartments,2271,595,3360,48,38,0.208,3,3,0.249,0.155,/tld/properties,0.254,0.302,0.395,
tld,zh,/tld/apartments,.apartments,2636,952,1515,45,37,0.178,3,3,0.28,0.191,/tld/engineering,0.337,0.383,0.432,
tld,en,/tld/app,.app,2163,475,2481,44,37,0.159,3,3,0.197,0.124,/tld/space,0.298,0.318,0.405,
tld,zh,/tld/app,.app,2498,798,1148,43,36,0.163,3,3,0.228,0.16,/tld/page,0.314,0.336,0.444,
tld,en,/tld/ar,.ar,2342,671,3814,49,38,0.224,3,3,0.245,0.237,/tld/cl,0.19,0.248,0.316,
tld,zh,/tld/ar,.ar,2795,1118,1548,48,38,0.208,3,3,0.45,0.327,/tld/cl,0.253,0.421,0.395,
tld,en,/tld/art,.art,2136,451,2479,42,35,0.167,3,3,0.202,0.127,/tld/space,0.31,0.332,0.429,
tld,zh,/tld/art,.art,2508,810,1054,43,36,0.163,3,3,0.236,0.165,/tld/design,0.334,0.353,0.444,
tld,en,/tld/asia,.asia,2353,679,3692,49,39,0.204,3,3,0.228,0.136,/tld/place,0.223,0.268,0.359,
tld,zh,/tld/asia,.asia,2770,1090,1574,44,36,0.182,3,3,0.287,0.176,/tld/place,0.292,0.343,0.417,
tld,en,/tld/associates,.associates,2221,553,3223,47,37,0.213,3,3,0.18,0.109,/tld/engineer,0.276,0.292,0.378,
tld,zh,/tld/associates,.associates,2542,868,1581,44,36,0.182,3,3,0.243,0.163,/tld/attorney,0.335,0.354,0.417,
tld,en,/tld/at,.at,2315,647,3548,45,36,0.2,3,3,0.241,0.204,/tld/pt,0.188,0.235,0.278,
tld,zh,/tld/at,.at,2740,1066,1474,48,38,0.208,3,3,0.415,0.311,/tld/pt,0.26,0.429,0.395,
tld,en,/tld/attorney,.attorney,2251,581,3271,44,36,0.182,3,3,0.269,0.158,/tld/dentist,0.257,0.296,0.417,
tld,zh,/tld/attorney,.attorney,2637,958,1538,43,36,0.163,3,3,0.34,0.218,/tld/dentist,0.32,0.377,0.444,
tld,en,/tld/au,.au,2256,585,3456,53,40,0.245,3,3,0.232,0.139,/tld/uk,0.246,0.283,0.35,
tld,zh,/tld/au,.au,2727,1050,1486,46,37,0.196,3,3,0.275,0.191,/tld/uk,0.255,0.324,0.405,
tld,en,/tld/auction,.auction,2219,547,3081,46,37,0.196,3,3,0.261,0.155,/tld/discount,0.268,0.302,0.405,
tld,zh,/tld/auction,.auction,2596,914,1404,43,36,0.163,3,3,0.343,0.23,/tld/discount,0.343,0.385,0.444,
tld,en,/tld/audio,.audio,2299,629,3349,50,40,0.2,3,3,0.188,0.117,/tld/holdings,0.244,0.272,0.375,
tld,zh,/tld/audio,.audio,2721,1042,1523,43,36,0.163,3,3,0.223,0.157,/tld/fashion,0.285,0.324,0.444,
tld,en,/tld/autos,.autos,2281,607,3371,48,38,0.208,3,3,0.265,0.199,/tld/homes,0.244,0.263,0.395,
tld,zh,/tld/autos,.autos,2705,1022,1491,45,37,0.178,3,3,0.367,0.282,/tld/homes,0.297,0.328,0.432,
tld,en,/tld/baby,.baby,2277,603,3257,48,38,0.208,3,3,0.206,0.125,/tld/green,0.251,0.289,0.395,
tld,zh,/tld/baby,.baby,2679,998,1375,47,38,0.191,3,3,0.256,0.187,/tld/green,0.31,0.364,0.421,
tld,en,/tld/band,.band,2219,549,2863,44,36,0.182,3,3,0.204,0.124,/tld/tech,0.268,0.318,0.417,
tld,zh,/tld/band,.band,2585,908,1342,43,36,0.163,3,3,0.221,0.16,/tld/international,0.321,0.354,0.444,
tld,en,/tld/bar,.bar,2292,609,3074,46,37,0.196,3,3,0.166,0.108,/tld/space,0.241,0.252,0.405,
