group,lang,pathA,pathB,jaccardMasked,jaccardRaw
tld,zh,/tld/mx,/tld/pl,0.493,0.348
tld,zh,/tld/ro,/tld/sk,0.472,0.331
tld,zh,/tld/nz,/tld/pt,0.466,0.332
tld,zh,/tld/ke,/tld/ng,0.453,0.312
tld,zh,/tld/ae,/tld/ph,0.444,0.326
tld,zh,/tld/boston,/tld/miami,0.442,0.32
tld,zh,/tld/id,/tld/my,0.439,0.329
tld,zh,/tld/ar,/tld/cl,0.439,0.321
tld,zh,/tld/amsterdam,/tld/paris,0.435,0.287
tld,zh,/tld/pt,/tld/sk,0.434,0.311
tld,zh,/tld/berlin,/tld/boston,0.434,0.301
tld,zh,/tld/equipment,/tld/management,0.43,0.308
tld,zh,/tld/cz,/tld/sk,0.43,0.309
tld,zh,/tld/pt,/tld/se,0.428,0.342
tld,zh,/tld/ge,/tld/lk,0.428,0.308
tld,zh,/tld/fi,/tld/se,0.428,0.317
tld,zh,/tld/ae,/tld/pt,0.427,0.304
tld,zh,/tld/cz,/tld/pt,0.426,0.307
tld,zh,/tld/lt,/tld/lv,0.425,0.332
tld,zh,/tld/cz,/tld/nz,0.424,0.319
tld,zh,/tld/ph,/tld/pt,0.423,0.327
tld,zh,/tld/amsterdam,/tld/boston,0.42,0.27
tld,zh,/tld/nz,/tld/se,0.42,0.304
tld,zh,/tld/ae,/tld/nz,0.419,0.298
tld,zh,/tld/lk,/tld/qa,0.419,0.3
tld,zh,/tld/pt,/tld/ro,0.417,0.296
tld,zh,/tld/amsterdam,/tld/berlin,0.416,0.268
tld,zh,/tld/fi,/tld/pt,0.415,0.305
tld,zh,/tld/at,/tld/pt,0.415,0.313
tld,zh,/tld/lk,/tld/pt,0.414,0.304
tld,en,/tld/berlin,/tld/boston,0.452,0.243
tld,en,/tld/boston,/tld/miami,0.44,0.269
tld,en,/tld/amsterdam,/tld/paris,0.406,0.222
tld,en,/tld/mx,/tld/pl,0.404,0.243
tld,en,/tld/boston,/tld/paris,0.402,0.202
tld,en,/tld/amsterdam,/tld/berlin,0.4,0.227
tld,en,/tld/london,/tld/tokyo,0.393,0.217
tld,en,/tld/berlin,/tld/paris,0.391,0.218
tld,en,/tld/amsterdam,/tld/boston,0.388,0.215
tld,en,/tld/miami,/tld/tokyo,0.381,0.185
tld,en,/tld/boston,/tld/tokyo,0.377,0.189
tld,en,/tld/lt,/tld/lv,0.372,0.256
tld,en,/tld/basketball,/tld/cricket,0.37,0.205
tld,en,/tld/boston,/tld/london,0.367,0.195
tld,en,/tld/ae,/tld/ph,0.363,0.235
tld,en,/tld/ro,/tld/sk,0.36,0.253
tld,en,/tld/cz,/tld/sk,0.359,0.219
tld,en,/tld/lk,/tld/qa,0.355,0.232
tld,en,/tld/ae,/tld/pt,0.353,0.216
tld,en,/tld/ph,/tld/pt,0.35,0.226
tld,en,/tld/pt,/tld/sk,0.35,0.21
tld,en,/tld/cz,/tld/pt,0.35,0.213
tld,en,/tld/amsterdam,/tld/nyc,0.345,0.187
tld,en,/tld/nz,/tld/pt,0.345,0.214
tld,en,/tld/boston,/tld/nyc,0.344,0.188
tld,en,/tld/ge,/tld/lv,0.344,0.233
tld,en,/tld/berlin,/tld/london,0.342,0.179
tld,en,/tld/lk,/tld/lv,0.341,0.222
tld,en,/tld/amsterdam,/tld/miami,0.34,0.182
tld,en,/tld/london,/tld/nyc,0.34,0.167
guide,zh,/guide/eggcarving,/guide/pyrography,0.168,0.164
guide,zh,/guide/doughsculpture,/guide/eggcarving,0.157,0.154
guide,zh,/guide/doughsculpture,/guide/pyrography,0.154,0.151
guide,zh,/guide/jadecarving,/guide/swordsmith,0.152,0.137
guide,zh,/guide/insidepainting,/guide/pyrography,0.151,0.151
guide,zh,/guide/eggcarving,/guide/insidepainting,0.15,0.147
guide,zh,/guide/eggcarving,/guide/strawpainting,0.145,0.143
guide,zh,/guide/fanmaking,/guide/swordsmith,0.143,0.137
guide,zh,/guide/batik,/guide/gilding,0.141,0.136
guide,zh,/guide/pyrography,/guide/strawpainting,0.139,0.14
guide,zh,/guide/claysculpture,/guide/pyrography,0.139,0.136
guide,zh,/guide/insidepainting,/guide/nutcarving,0.138,0.136
guide,zh,/guide/fanmaking,/guide/jadecarving,0.138,0.124
guide,zh,/guide/guqin,/guide/swordsmith,0.137,0.131
guide,zh,/guide/doughsculpture,/guide/strawpainting,0.136,0.134
guide,zh,/guide/doughsculpture,/guide/insidepainting,0.135,0.133
guide,zh,/guide/gilding,/guide/lacquerware,0.135,0.13
guide,zh,/guide/brocade,/guide/swordsmith,0.133,0.127
guide,zh,/guide/batik,/guide/lacquerware,0.132,0.127
guide,zh,/guide/nutcarving,/guide/pyrography,0.131,0.128
guide,zh,/guide/brocade,/guide/jadecarving,0.13,0.117
guide,zh,/guide/fanmaking,/guide/lacquerware,0.129,0.124
guide,zh,/guide/eggcarving,/guide/nutcarving,0.128,0.129
guide,zh,/guide/batik,/guide/fanmaking,0.128,0.122
guide,zh,/guide/brocade,/guide/fanmaking,0.127,0.122
guide,zh,/guide/claysculpture,/guide/jadecarving,0.127,0.125
guide,zh,/guide/doughsculpture,/guide/woodblockprint,0.126,0.124
guide,zh,/guide/bronzecasting,/guide/claysculpture,0.125,0.112
guide,zh,/guide/bambooweaving,/guide/brocade,0.125,0.12
guide,zh,/guide/strawpainting,/guide/woodblockprint,0.125,0.125
guide,en,/guide/eggcarving,/guide/pyrography,0.124,0.117
guide,en,/guide/doughsculpture,/guide/pyrography,0.122,0.108
guide,en,/guide/eggcarving,/guide/insidepainting,0.12,0.104
guide,en,/guide/doughsculpture,/guide/eggcarving,0.118,0.109
guide,en,/guide/jadecarving,/guide/swordsmith,0.113,0.104
guide,en,/guide/eggcarving,/guide/strawpainting,0.11,0.101
guide,en,/guide/bookbinding,/guide/letterpress,0.105,0.088
guide,en,/guide/doughsculpture,/guide/strawpainting,0.104,0.089
guide,en,/guide/insidepainting,/guide/nutcarving,0.103,0.096
guide,en,/guide/insidepainting,/guide/pyrography,0.103,0.097
guide,en,/guide/brocade,/guide/fanmaking,0.103,0.089
guide,en,/guide/pyrography,/guide/strawpainting,0.102,0.089
guide,en,/guide/batik,/guide/gilding,0.101,0.088
guide,en,/guide/bambooweaving,/guide/brocade,0.1,0.09
guide,en,/guide/gilding,/guide/lacquerware,0.097,0.085
guide,en,/guide/batik,/guide/brocade,0.097,0.083
guide,en,/guide/fanmaking,/guide/lacquerware,0.097,0.084
guide,en,/guide/batik,/guide/lacquerware,0.096,0.083
guide,en,/guide/brocade,/guide/swordsmith,0.096,0.087
guide,en,/guide/bambooweaving,/guide/jadecarving,0.096,0.081
guide,en,/guide/strawpainting,/guide/woodblockprint,0.095,0.089
guide,en,/guide/nutcarving,/guide/pyrography,0.095,0.083
guide,en,/guide/eggcarving,/guide/nutcarving,0.094,0.092
guide,en,/guide/doughsculpture,/guide/woodblockprint,0.094,0.088
guide,en,/guide/axethrowing,/guide/lasertag,0.094,0.08
guide,en,/guide/guqin,/guide/swordsmith,0.094,0.086
guide,en,/guide/nutcarving,/guide/strawpainting,0.094,0.08
guide,en,/guide/fanmaking,/guide/jadecarving,0.094,0.081
guide,en,/guide/fanmaking,/guide/swordsmith,0.093,0.085
guide,en,/guide/doughsculpture,/guide/insidepainting,0.093,0.086
vs,zh,/vs/id-vs-sg,/vs/ph-vs-sg,0.485,0.424
vs,zh,/vs/de-vs-com,/vs/uk-vs-com,0.479,0.414
