group,lang,path,label,bodyWords,proseWords,proseChars,sentences,uniqueSentences,dupSentenceRatio,faqDetails,faqLd,nnMasked,nnRaw,nnPath,templateShare50,templateShare10,templateSentShare,vsReuseFromTld
tld,en,/tld/abogado,.abogado,622,459,2660,37,37,0,3,3,0.257,0.158,/tld/tienda,0.243,0.29,0.405,
tld,zh,/tld/abogado,.abogado,872,697,1077,34,34,0,3,3,0.319,0.199,/tld/tienda,0.306,0.359,0.471,
tld,en,/tld/academy,.academy,549,367,2045,37,37,0,3,3,0.199,0.124,/tld/school,0.293,0.314,0.432,
tld,zh,/tld/academy,.academy,837,638,961,37,37,0,3,3,0.244,0.176,/tld/school,0.328,0.376,0.459,
tld,en,/tld/accountants,.accountants,563,400,2219,37,37,0,3,3,0.219,0.122,/tld/diamonds,0.279,0.315,0.405,
tld,zh,/tld/accountants,.accountants,817,642,1055,35,35,0,3,3,0.283,0.178,/tld/diamonds,0.343,0.377,0.457,
tld,en,/tld/actor,.actor,581,430,2346,38,38,0,3,3,0.262,0.168,/tld/graphics,0.261,0.313,0.395,
tld,zh,/tld/actor,.actor,836,673,1046,34,34,0,3,3,0.317,0.204,/tld/graphics,0.314,0.367,0.471,
tld,en,/tld/ae,.ae,632,463,2440,36,36,0,3,3,0.363,0.235,/tld/ph,0.23,0.305,0.417,
tld,zh,/tld/ae,.ae,951,770,978,37,37,0,3,3,0.444,0.326,/tld/ph,0.271,0.452,0.432,
tld,en,/tld/agency,.agency,528,354,1859,33,33,0,3,3,0.202,0.131,/tld/shop,0.305,0.324,0.485,
tld,zh,/tld/agency,.agency,810,622,867,35,35,0,3,3,0.227,0.162,/tld/studio,0.312,0.334,0.486,
tld,en,/tld/ai,.ai,492,340,1717,32,32,0,3,3,0.108,0.131,/tld/art,0.176,0.192,0.281,
tld,zh,/tld/ai,.ai,750,580,774,33,33,0,3,3,0.209,0.161,/tld/io,0.311,0.326,0.455,
