linkShare,path,bodyWords,proseWords
0.2508,/vs/page-vs-com,658,493
0.2507,/vs/fitness-vs-coach,678,508
0.2504,/vs/clinic-vs-care,675,506
0.25,/vs/care-vs-doctor,656,492
0.2493,/vs/promo-vs-shop,682,512
0.2485,/vs/vip-vs-top,676,508
0.2485,/vs/pink-vs-me,672,505
0.2481,/vs/wine-vs-bar,661,497
0.2478,/vs/services-vs-agency,682,513
0.2478,/vs/ltd-vs-co,678,510
0.2474,/vs/app-vs-site,671,505
0.2474,/vs/apartments-vs-house,663,499
0.2473,/vs/tools-vs-app,655,493
0.2463,/vs/moe-vs-fun,674,508
0.2463,/vs/events-vs-live,678,511
0.246,/vs/express-vs-store,687,518
0.2459,/vs/community-vs-club,679,512
0.2459,/vs/bio-vs-me,667,503
0.2449,/vs/baby-vs-store,686,518
0.2443,/vs/biz-vs-com,696,526
0.2442,/vs/kitchen-vs-restaurant,692,523
0.244,/vs/app-vs-io,668,505
0.2436,/vs/technology-vs-tech,669,506
0.2434,/vs/travel-vs-tours,686,519
0.2434,/vs/salon-vs-studio,686,519
0.2434,/vs/cc-vs-com,678,513
0.2431,/vs/taxi-vs-city,691,523
0.2429,/vs/info-vs-net,597,452
0.2428,/vs/farm-vs-cafe,696,527
0.2425,/vs/restaurant-vs-cafe,701,531
0.2424,/vs/engineering-vs-tech,693,525
0.2421,/vs/consulting-vs-expert,665,504
0.2414,/vs/repair-vs-services,700,531
0.2411,/vs/io-vs-sh,676,513
0.241,/vs/gifts-vs-shop,697,529
0.2405,/vs/menu-vs-restaurant,707,537
0.2405,/vs/flights-vs-travel,686,521
0.2404,/vs/software-vs-app,674,512
0.2398,/vs/education-vs-academy,709,539
0.2395,/vs/de-vs-com,689,524
0.2395,/vs/art-vs-studio,622,473
0.2392,/vs/blog-vs-me,694,528
0.2389,/vs/tips-vs-blog,678,516
0.2389,/vs/guru-vs-expert,653,497
0.2388,/vs/coffee-vs-cafe,695,529
0.2385,/vs/fr-vs-com,696,530
0.2379,/vs/earth-vs-world,681,519
0.2376,/vs/ink-vs-art,623,475
0.2374,/vs/au-vs-com,695,530
0.2369,/vs/engineering-vs-dev,705,538
0.2369,/vs/computer-vs-tech,688,525
0.2365,/vs/solutions-vs-services,668,510
0.2364,/vs/host-vs-cloud,626,478
0.2363,/vs/company-vs-group,673,514
0.2359,/vs/lol-vs-gg,691,528
0.2356,/vs/website-vs-site,696,532
0.2356,/vs/dog-vs-pet,675,516
0.2355,/vs/soccer-vs-club,709,542
0.2353,/vs/health-vs-life,714,546
0.2352,/vs/blue-vs-red,625,478
0.2348,/vs/garden-vs-farm,673,515
0.2347,/vs/golf-vs-club,703,538
0.2343,/vs/law-vs-pro,700,536
0.234,/vs/shop-vs-store,718,550
0.2339,/vs/tennis-vs-club,714,547
0.2338,/vs/yoga-vs-fitness,680,521
0.2338,/vs/wtf-vs-lol,556,426
0.2337,/vs/money-vs-finance,582,446
0.2331,/vs/dance-vs-studio,712,546
0.2331,/vs/black-vs-gold,622,477
0.233,/vs/ltd-vs-llc,661,507
0.2325,/vs/health-vs-care,727,558
0.2322,/vs/marketing-vs-agency,659,506
0.2318,/vs/sale-vs-shop,716,550
0.2315,/vs/cloud-vs-tech,704,541
0.2313,/vs/store-vs-online,722,555
0.2313,/vs/club-vs-gg,722,555
0.2312,/vs/football-vs-team,705,542
0.2311,/vs/fit-vs-fitness,688,529
0.2305,/vs/family-vs-life,729,561
0.2303,/vs/video-vs-tv,595,458
0.2303,/vs/productions-vs-studio,725,558
0.2303,/vs/online-vs-site,725,558
