domain,status,meaning,theme,score,length,readability,relevance,brandability,first_year_price,expires_at
lingxicha.ai,available,"",,,,,,,"首年 $82.7 ≈¥595",""
lingxicha.io,available,"",,,,,,,"首年 $28.12 ≈¥202",""
lingxicha.net,available,"",,,,,,,"首年 $12.52 ≈¥90",""
yunqiji.com,available,"",,,,,,,"首年 $11.08 ≈¥80",""
lingxicha.com,available,"",,,,,,,"首年 $11.08 ≈¥80",""
lingxicha.cn,available,"",,,,,,,"首年 ¥33",""
yunqiji.ai,available,"",,,,,,,"首年 $82.7 ≈¥595",""
yunqiji.io,available,"",,,,,,,"首年 $28.12 ≈¥202",""
yunqiji.net,available,"",,,,,,,"首年 $12.52 ≈¥90",""
shanhetea.io,available,"",,,,,,,"首年 $28.12 ≈¥202",""
shanhetea.ai,available,"",,,,,,,"首年 $82.7 ≈¥595",""
shanhetea.net,available,"",,,,,,,"首年 $12.52 ≈¥90",""
shanhetea.cn,available,"",,,,,,,"首年 ¥33",""
mochamo.io,available,"",,,,,,,"首年 $28.12 ≈¥202",""
mochamo.net,available,"",,,,,,,"首年 $12.52 ≈¥90",""
shanhetea.com,available,"",,,,,,,"首年 $11.08 ≈¥80",""
mochamo.cn,available,"",,,,,,,"首年 ¥33",""
mochamo.ai,available,"",,,,,,,"首年 $82.7 ≈¥595",""
mochamo.com,taken,"",,,,,,,,"2027-08-24"
qingfengke.io,available,"",,,,,,,"首年 $28.12 ≈¥202",""
qingfengke.ai,available,"",,,,,,,"首年 $82.7 ≈¥595",""
qingfengke.cn,taken,"",,,,,,,,"2027-07-08"
qingfengke.net,taken,"",,,,,,,,"2032-09-23"
qingfengke.com,taken,"",,,,,,,,"2027-07-07"
yunqiji.cn,taken,"",,,,,,,,"2026-12-12"
