/                            200 15972
/?lang=en                    200 16324
/advanced                    200 48117
/shortlist                   200 5012
/monitors                    200 4922
/prices                      200 281074
/why                         200 49284
/mcp                         200 48291
/tld                         200 238610
/guide                       200 222438
/vs                          200 353133
/tld/cn                      200 69180
/tld/de                      200 80988
/tld/ar                      200 75721
/tld/uk                      200 72811
/tld/jp                      200 75997
/tld/de?lang=en              200 82004
/guide/saas                  200 78637
/guide/b2b                   404 4490
/guide/saas?lang=en          200 78927
/vs/com-vs-cn                200 83363
/vs/com-vs-cn?lang=en        200 83616
/vs/io-vs-dev                200 84919
/nope-r551                   404 4490
