domain,status,meaning,theme,score,length,readability,relevance,brandability,first_year_price,expires_at
yunqiji.cn,taken,"",,,,,,,,"2026-12-12"
mochamo.com,taken,"",,,,,,,,"2027-08-24"
qingfengke.com,taken,"",,,,,,,,"2027-07-07"
qingfengke.cn,taken,"",,,,,,,,"2027-07-08"
qingfengke.net,taken,"",,,,,,,,"2032-09-23"
google.com,taken,"",,,,,,,,"2028-09-14"
stackpilot.app,taken,"",,,,,,,,"2026-07-01"
lingxicha.io,available,"",,,,,,,"首年 $28.12 ≈¥202",""
yunqiji.com,available,"",,,,,,,"首年 $11.08 ≈¥80",""
lingxicha.com,available,"",,,,,,,"首年 $11.08 ≈¥80",""
lingxicha.cn,available,"",,,,,,,"首年 ¥33",""
yunqiji.io,available,"",,,,,,,"首年 $28.12 ≈¥202",""
yunqiji.net,available,"",,,,,,,"首年 $12.52 ≈¥90",""
shanhetea.com,available,"",,,,,,,"首年 $11.08 ≈¥80",""
shanhetea.net,available,"",,,,,,,"首年 $12.52 ≈¥90",""
shanhetea.cn,available,"",,,,,,,"首年 ¥33",""
shanhetea.io,available,"",,,,,,,"首年 $28.12 ≈¥202",""
lingxicha.net,available,"",,,,,,,"首年 $12.52 ≈¥90",""
mochamo.io,available,"",,,,,,,"首年 $28.12 ≈¥202",""
mochamo.cn,available,"",,,,,,,"首年 ¥33",""
mochamo.net,available,"",,,,,,,"首年 $12.52 ≈¥90",""
qingfengke.io,available,"",,,,,,,"首年 $28.12 ≈¥202",""
baidu.com.cn,taken,"",,,,,,,,"2029-02-15"
lingxicha.ai,unknown,"",,,,,,,,""
yunqiji.ai,unknown,"",,,,,,,,""
shanhetea.ai,unknown,"",,,,,,,,""
mochamo.ai,unknown,"",,,,,,,,""
qingfengke.ai,unknown,"",,,,,,,,""
