name            path                                status  strict-transport-security            x-content-type-options  referrer-policy                  x-frame-options  permissions-policy   content-security-policy-report-only                     content-security-policy  content-type                     cache-control                       vary             access-control-allow-origin  cross-origin-opener-policy
home            /?cb=280457380                      200     max-age=31536000; includeSubDomains  nosniff                 strict-origin-when-cross-origin  DENY             present(8 features)  present(nonce=1,report-uri=report-uri /api/csp-report)  -                        text/html; charset=utf-8         public, max-age=600                 Accept-Language  -                            -
home_en         /?lang=en&cb=280457380              200     max-age=31536000; includeSubDomains  nosniff                 strict-origin-when-cross-origin  DENY             present(8 features)  present(nonce=1,report-uri=report-uri /api/csp-report)  -                        text/html; charset=utf-8         public, max-age=600                 Accept-Language  -                            -
tld_cn          /tld/cn?cb=280457380                200     max-age=31536000; includeSubDomains  nosniff                 strict-origin-when-cross-origin  DENY             present(8 features)  present(nonce=1,report-uri=report-uri /api/csp-report)  -                        text/html; charset=utf-8         public, max-age=600                 Accept-Language  -                            -
vs_com_cn       /vs/com-vs-cn?lang=en&cb=280457380  200     max-age=31536000; includeSubDomains  nosniff                 strict-origin-when-cross-origin  DENY             present(8 features)  present(nonce=1,report-uri=report-uri /api/csp-report)  -                        text/html; charset=utf-8         public, max-age=600                 Accept-Language  -                            -
guide_saas      /guide/saas?cb=280457380            200     max-age=31536000; includeSubDomains  nosniff                 strict-origin-when-cross-origin  DENY             present(8 features)  present(nonce=1,report-uri=report-uri /api/csp-report)  -                        text/html; charset=utf-8         public, max-age=600                 Accept-Language  -                            -
monitors        /monitors?cb=280457380              200     max-age=31536000; includeSubDomains  nosniff                 strict-origin-when-cross-origin  DENY             present(8 features)  present(nonce=1,report-uri=report-uri /api/csp-report)  -                        text/html; charset=utf-8         -                                   Accept-Language  -                            -
s_410           /s/u5QFymuLnu?cb=280457380          410     max-age=31536000; includeSubDomains  nosniff                 strict-origin-when-cross-origin  DENY             present(8 features)  present(nonce=1,report-uri=report-uri /api/csp-report)  -                        text/html; charset=utf-8         -                                   Accept-Language  -                            -
shortlist       /shortlist?cb=280457380             200     max-age=31536000; includeSubDomains  nosniff                 strict-origin-when-cross-origin  DENY             present(8 features)  present(nonce=1,report-uri=report-uri /api/csp-report)  -                        text/html; charset=utf-8         -                                   Accept-Language  -                            -
mcp_doc         /mcp?cb=280457380                   200     max-age=31536000; includeSubDomains  nosniff                 strict-origin-when-cross-origin  DENY             present(8 features)  present(nonce=1,report-uri=report-uri /api/csp-report)  -                        text/html; charset=utf-8         public, max-age=600                 Accept-Language  -                            -
nf_shell        /does-not-exist-r575?cb=280457380   404     max-age=31536000; includeSubDomains  nosniff                 strict-origin-when-cross-origin  DENY             present(8 features)  present(nonce=1,report-uri=report-uri /api/csp-report)  -                        text/html; charset=utf-8         public, max-age=600                 Accept-Language  -                            -
s_nf            /s/nope-r575?cb=280457380           404     max-age=31536000; includeSubDomains  nosniff                 strict-origin-when-cross-origin  DENY             present(8 features)  present(nonce=1,report-uri=report-uri /api/csp-report)  -                        text/html; charset=utf-8         -                                   Accept-Language  -                            -
api_usage       /api/usage?days=1&cb=280457380      200     -                                    nosniff                 strict-origin-when-cross-origin  -                -                    -                                                       -                        application/json                 public, max-age=300                 -                -                            -
api_prices      /api/prices?cb=280457380            200     -                                    nosniff                 strict-origin-when-cross-origin  -                -                    -                                                       -                        application/json; charset=utf-8  public, max-age=600                 -                -                            -
api_stats       /api/stats?cb=280457380             200     -                                    nosniff                 strict-origin-when-cross-origin  -                -                    -                                                       -                        application/json                 public, max-age=60                  -                -                            -
api_registrars  /api/registrars?cb=280457380        200     -                                    nosniff                 strict-origin-when-cross-origin  -                -                    -                                                       -                        application/json                 public, max-age=300                 -                -                            -
api_nf          /api/nope-r575?cb=280457380         404     -                                    nosniff                 strict-origin-when-cross-origin  -                -                    -                                                       -                        -                                -                                   -                -                            -
mcp_post        /mcp                                200     -                                    nosniff                 strict-origin-when-cross-origin  -                -                    -                                                       -                        application/json                 -                                   -                -                            -
sitemap         /sitemap.xml?cb=280457380           200     -                                    nosniff                 strict-origin-when-cross-origin  -                -                    -                                                       -                        application/xml; charset=utf-8   public, max-age=86400               -                -                            -
robots          /robots.txt?cb=280457380            200     -                                    nosniff                 strict-origin-when-cross-origin  -                -                    -                                                       -                        text/plain; charset=utf-8        public, max-age=86400               -                -                            -
llms            /llms.txt?cb=280457380              200     -                                    nosniff                 strict-origin-when-cross-origin  -                -                    -                                                       -                        text/plain; charset=utf-8        public, max-age=86400               -                -                            -
