domain,status,meaning,theme,score,length,readability,relevance,brandability,first_year_price,price_first_year_cny,price_renew_cny,price_first_year_usd,price_renew_usd,price_source,expires_at
google.com,taken,"",,,,,,,,,,,,,"2028-09-14"
baidu.cn,taken,"",,,,,,,,,,,,,"2029-03-17"
example.org,taken,"",,,,,,,,,,,,,"2027-08-30"
github.com,taken,"",,,,,,,,,,,,,"2028-10-09"
r575-zz-probe-a3.org,available,"",,,,,,,"首年 $7.98 ≈¥57",57,85,7.98,11.84,porkbun_live,""
wikipedia.org,taken,"",,,,,,,,,,,,,"2027-01-13"
r575-zz-probe-a4.io,available,"",,,,,,,"首年 $28.12 ≈¥202",202,373,28.12,51.8,porkbun_live,""
r575-zz-probe-a1.com,available,"",,,,,,,"首年 $11.08 ≈¥80",80,80,11.08,11.08,porkbun_live,""
r575-zz-probe-a5.co,available,"",,,,,,,"首年 $15.76 ≈¥113",113,225,15.76,31.2,porkbun_live,""
r575-zz-probe-a2.net,available,"",,,,,,,"首年 $12.52 ≈¥90",90,90,12.52,12.52,porkbun_live,""
r575-zz-probe-a7.app,available,"",,,,,,,"首年 $8.75 ≈¥63",63,107,8.75,14.93,porkbun_live,""
r575-zz-probe-a6.dev,available,"",,,,,,,"首年 $8.75 ≈¥63",63,93,8.75,12.87,porkbun_live,""
r575-zz-probe-b1.com.cn,available,"",,,,,,,"首年 ¥33",33,38,,,static_reference,""
r575-zz-probe-a9.cn,available,"",,,,,,,"首年 ¥33",33,38,,,static_reference,""
r575-zz-probe-b3.me,available,"",,,,,,,"首年 $2.73 ≈¥20",20,124,2.73,17.27,porkbun_live,""
r575-zz-probe-b5.top,available,"",,,,,,,"首年 $1.63 ≈¥12",12,33,1.63,4.63,porkbun_live,""
r575-zz-probe-b6.cc,available,"",,,,,,,"首年 $3.4 ≈¥24",24,62,3.4,8.55,porkbun_live,""
r575-zz-probe-b2.xyz,available,"",,,,,,,"首年 $2.04 ≈¥15",15,102,2.04,14.21,porkbun_live,""
r575-zz-probe-a8.ai,unknown,"",,,,,,,,,,,,,""
r575-zz-probe-b4.info,unknown,"",,,,,,,,,,,,,""
