path,lang,bodyWords,proseWords,linkShare
/vs/abogado-vs-lawyer,en,829,681,0.1785
/vs/abogado-vs-lawyer,zh,1287,1095,0.1492
/vs/academy-vs-coach,en,931,762,0.1815
/vs/academy-vs-coach,zh,1432,1210,0.1550
/vs/academy-vs-school,en,877,711,0.1893
/vs/academy-vs-school,zh,1360,1143,0.1596
/vs/accountants-vs-tax,en,740,593,0.1986
/vs/accountants-vs-tax,zh,1171,978,0.1648
/vs/actor-vs-studio,en,777,630,0.1892
/vs/actor-vs-studio,zh,1211,1014,0.1627
/vs/agency-vs-co,en,894,728,0.1857
/vs/agency-vs-co,zh,1419,1199,0.1550
/vs/ai-vs-app,en,863,699,0.1900
/vs/ai-vs-app,zh,1276,1061,0.1685
/vs/ai-vs-dev,en,722,559,0.2258
/vs/ai-vs-dev,zh,1135,919,0.1903
/vs/ai-vs-tech,en,813,649,0.2017
/vs/ai-vs-tech,zh,1212,996,0.1782
/vs/amsterdam-vs-berlin,en,776,629,0.1894
/vs/amsterdam-vs-berlin,zh,1272,1077,0.1533
/vs/apartments-vs-house,en,663,499,0.2474
/vs/apartments-vs-house,zh,1020,808,0.2078
/vs/apartments-vs-rentals,en,663,521,0.2142
/vs/apartments-vs-rentals,zh,1019,825,0.1904
/vs/app-vs-dev,en,718,554,0.2284
/vs/app-vs-dev,zh,1136,921,0.1893
/vs/app-vs-io,en,668,505,0.2440
/vs/app-vs-io,zh,1022,806,0.2114
/vs/app-vs-site,en,671,505,0.2474
/vs/app-vs-site,zh,1043,823,0.2109
/vs/ar-vs-cl,en,731,578,0.2093
/vs/ar-vs-cl,zh,1173,972,0.1714
/vs/art-vs-design,en,735,586,0.2027
/vs/art-vs-design,zh,1122,920,0.1800
/vs/art-vs-studio,en,622,473,0.2395
/vs/art-vs-studio,zh,971,770,0.2070
/vs/asia-vs-global,en,811,656,0.1911
/vs/asia-vs-global,zh,1281,1078,0.1585
/vs/associates-vs-partners,en,759,614,0.1910
/vs/associates-vs-partners,zh,1163,974,0.1625
/vs/at-vs-de,en,733,575,0.2156
/vs/at-vs-de,zh,1128,924,0.1809
/vs/attorney-vs-lawyer,en,725,575,0.2069
/vs/attorney-vs-lawyer,zh,1170,973,0.1684
/vs/au-vs-com,en,695,530,0.2374
/vs/au-vs-com,zh,1104,890,0.1938
/vs/auction-vs-market,en,760,606,0.2026
/vs/auction-vs-market,zh,1213,1007,0.1698
/vs/audio-vs-fm,en,728,608,0.1648
/vs/audio-vs-fm,zh,1116,949,0.1496
/vs/autos-vs-repair,en,784,622,0.2066
/vs/autos-vs-repair,zh,1204,992,0.1761
