domain,status,meaning,theme,score,length,readability,relevance,brandability,first_year_price,price_first_year_cny,price_renew_cny,price_first_year_usd,price_renew_usd,price_source,expires_at
r566qzv03.io,available,"",,,,,,,"首年 $28.12 ≈¥202",202,373,28.12,51.8,porkbun_live,""
r566qzv06.io,available,"",,,,,,,"首年 $28.12 ≈¥202",202,373,28.12,51.8,porkbun_live,""
r566qzv01.com,available,"",,,,,,,"首年 $11.08 ≈¥80",80,80,11.08,11.08,porkbun_live,""
r566qzv04.com,available,"",,,,,,,"首年 $11.08 ≈¥80",80,80,11.08,11.08,porkbun_live,""
r566qzv09.io,available,"",,,,,,,"首年 $28.12 ≈¥202",202,373,28.12,51.8,porkbun_live,""
r566qzv07.com,available,"",,,,,,,"首年 $11.08 ≈¥80",80,80,11.08,11.08,porkbun_live,""
r566qzv10.com,available,"",,,,,,,"首年 $11.08 ≈¥80",80,80,11.08,11.08,porkbun_live,""
r566qzv12.io,available,"",,,,,,,"首年 $28.12 ≈¥202",202,373,28.12,51.8,porkbun_live,""
r566qzv13.com,available,"",,,,,,,"首年 $11.08 ≈¥80",80,80,11.08,11.08,porkbun_live,""
r566qzv02.cn,available,"",,,,,,,"首年 ¥33",33,38,,,static_reference,""
r566qzv05.cn,available,"",,,,,,,"首年 ¥33",33,38,,,static_reference,""
r566qzv15.io,available,"",,,,,,,"首年 $28.12 ≈¥202",202,373,28.12,51.8,porkbun_live,""
r566qzv08.cn,available,"",,,,,,,"首年 ¥33",33,38,,,static_reference,""
r566qzv16.com,available,"",,,,,,,"首年 $11.08 ≈¥80",80,80,11.08,11.08,porkbun_live,""
r566qzv18.io,available,"",,,,,,,"首年 $28.12 ≈¥202",202,373,28.12,51.8,porkbun_live,""
r566qzv11.cn,unknown,"",,,,,,,,,,,,,""
r566qzv19.com,available,"",,,,,,,"首年 $11.08 ≈¥80",80,80,11.08,11.08,porkbun_live,""
r566qzv21.io,available,"",,,,,,,"首年 $28.12 ≈¥202",202,373,28.12,51.8,porkbun_live,""
r566qzv22.com,available,"",,,,,,,"首年 $11.08 ≈¥80",80,80,11.08,11.08,porkbun_live,""
r566qzv14.cn,available,"",,,,,,,"首年 ¥33",33,38,,,static_reference,""
r566qzv24.io,available,"",,,,,,,"首年 $28.12 ≈¥202",202,373,28.12,51.8,porkbun_live,""
r566qzv25.com,available,"",,,,,,,"首年 $11.08 ≈¥80",80,80,11.08,11.08,porkbun_live,""
google.com,taken,"",,,,,,,,,,,,,"2028-09-14"
r566qzv17.cn,available,"",,,,,,,"首年 ¥33",33,38,,,static_reference,""
r566qzv20.cn,available,"",,,,,,,"首年 ¥33",33,38,,,static_reference,""
r566qzv23.cn,unknown,"",,,,,,,,,,,,,""
r566qzv26.cn,unknown,"",,,,,,,,,,,,,""
lingxi.com,taken,"",,,,,,,,,,,,,"2033-06-11"
