domain,status,meaning,theme,score,length,readability,relevance,brandability,first_year_price,expires_at
yunqiji.cn,taken,"",,,,,,,,"2026-12-12"
mochamo.com,taken,"",,,,,,,,"2027-08-24"
qingfengke.com,taken,"",,,,,,,,"2027-07-07"
qingfengke.cn,taken,"",,,,,,,,"2027-07-08"
stackpilot.dev,taken,"",,,,,,,,"2027-04-06"
google.com,taken,"",,,,,,,,"2028-09-14"
lingxicha.com,available,"",,,,,,,"首年 $11.08 ≈¥80",""
yunqiji.com,available,"",,,,,,,"首年 $11.08 ≈¥80",""
lingxicha.cn,available,"",,,,,,,"首年 ¥33",""
mochamo.cn,available,"",,,,,,,"首年 ¥33",""
chaxiangji.cn,available,"",,,,,,,"首年 ¥33",""
teabloom.cn,taken,"",,,,,,,,"2026-10-13"
chaxiangji.com,taken,"",,,,,,,,"2027-04-20"
teabloom.com,taken,"",,,,,,,,"2029-10-28"
foo.bar.cn,unknown,"",,,,,,,,""
hunt.zalize.com,unknown,"",,,,,,,,""
zalizetest123.com,available,"",,,,,,,"首年 $11.08 ≈¥80",""
coolname.io,available,"",,,,,,,"首年 $28.12 ≈¥202",""
mingxiang.cn,taken,"",,,,,,,,"2029-04-29"
zalizetest123.cn,available,"",,,,,,,"首年 ¥33",""
bing.com,taken,"",,,,,,,,"2027-01-30"
qwzx7k3.com,available,"",,,,,,,"首年 $11.08 ≈¥80",""
qwzx7k3.cn,available,"",,,,,,,"首年 ¥33",""
mingxiang.com,taken,"",,,,,,,,"2033-01-14"
petwan.cn,available,"",,,,,,,"首年 ¥33",""
zalizepetwan.com,available,"",,,,,,,"首年 $11.08 ≈¥80",""
